v_dbid,4995,5004,5276,4096,3939,3708,3082,2636,2340,2189,220
39724,X,X,1,-1,-1,1,1,-1,-1,-1,1
37676,1,1,1,1,1,1,1,1,1,1,0
96945,0,1,1,1,1,1,1,-1,1,1,1
37312,-1,1,1,1,1,1,1,1,1,1,1
28135,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
28139,-1,1,1,1,1,1,1,1,1,1,1
4274,-1,1,1,1,1,1,1,-1,1,1,1
1930,1,-1,-1,-1,X,1,1,-1,-1,0,1
96827,1,-1,-1,-1,-1,1,1,-1,-1,X,1
96646,-1,1,1,1,1,1,1,1,1,1,-1
1933,-1,1,1,1,1,1,1,1,1,1,1
96731,-1,1,1,X,1,1,1,1,1,1,1
28223,1,-1,1,-1,-1,1,1,-1,-1,1,0
96671,,,,,X,X,1,1,1,1,1
96996,X,X,-1,-1,-1,-1,1,-1,-1,-1,-1
96843,1,-1,-1,X,-1,1,1,-1,-1,1,1
28252,1,-1,1,1,-1,1,1,-1,-1,1,0
96718,-1,1,1,1,1,1,1,1,1,1,X
96789,-1,1,-1,-1,1,1,1,-1,1,1,1
96865,,,,,X,1,1,1,1,1,1
33990,-1,1,1,1,X,1,1,1,1,1,1
23787,1,-1,-1,-1,-1,1,X,-1,-1,-1,1
96755,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96836,-1,1,1,1,1,1,1,1,1,1,1
1309,-1,1,1,1,1,1,1,1,1,1,1
96960,1,0,0,-1,-1,-1,0,-1,-1,-1,-1
96932,-1,1,1,1,1,1,1,1,X,1,1
28380,-1,1,1,-1,X,1,1,-1,1,1,1
2081,-1,1,1,1,1,1,1,1,1,1,1
96770,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
97018,1,X,-1,X,1,1,1,-1,1,1,1
28508,-1,1,1,1,1,1,1,X,1,X,1
96655,-1,1,1,1,1,1,X,1,1,1,1
4282,1,-1,1,-1,-1,1,1,-1,-1,-1,0
28299,1,-1,-1,X,X,0,1,-1,-1,0,0
97170,-1,-1,1,1,1,1,1,1,1,1,X
4751,-1,1,1,1,1,1,1,1,1,1,1
96905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97008,-1,X,1,1,1,1,1,1,1,1,1
96831,-1,1,1,1,1,1,1,1,1,1,1
4243,,,,,,,,,,,1
4546,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
4545,-1,1,1,1,1,1,1,1,X,X,1
34254,1,1,-1,-1,X,-1,1,-1,X,-1,1
96863,,,,,,,1,X,-1,0,1
28320,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
96860,-1,-1,1,1,1,1,1,0,X,1,1
2037,1,-1,X,-1,X,1,1,X,-1,-1,1
23820,1,-1,1,-1,-1,1,1,-1,-1,1,-1
36396,,,,,X,X,1,1,X,1,1
96678,1,-1,1,1,1,1,1,1,1,-1,1
96920,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
96855,X,X,X,-1,-1,X,1,X,1,X,X
28358,1,-1,-1,-1,-1,1,1,-1,X,-1,-1
23808,-1,1,1,1,1,1,1,1,1,1,0
28316,1,-1,-1,-1,-1,1,1,-1,1,1,1
4521,1,-1,-1,-1,X,1,1,-1,-1,-1,1
29579,-1,1,1,1,X,1,1,1,1,1,1
97136,-1,1,1,1,X,1,1,1,1,1,1
1945,1,-1,-1,-1,X,1,1,0,X,X,1
96821,-1,1,1,1,1,1,1,1,1,X,1
102931,-1,1,X,1,1,1,1,1,1,1,
96847,-1,1,1,1,1,1,1,0,1,1,1
39726,1,-1,-1,-1,-1,1,1,X,-1,1,0
96974,1,-1,-1,-1,-1,1,1,-1,-1,1,1
107385,1,1,-1,-1,-1,0,1,-1,-1,1,
96874,1,1,-1,-1,X,1,0,-1,-1,1,0
25704,X,X,-1,-1,-1,1,1,-1,-1,1,1
96871,1,1,1,X,X,1,1,-1,-1,1,0
28153,-1,1,1,1,X,1,1,1,1,1,1
96776,X,X,-1,-1,X,1,1,-1,-1,X,1
97026,X,X,1,X,X,1,1,X,1,1,X
96713,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
96697,1,-1,-1,-1,-1,1,1,X,-1,-1,0
28584,-1,1,X,0,0,X,-1,-1,X,-1,-1
28240,X,X,1,1,1,1,1,1,1,1,1
96909,,,,,,,,,1,X,0
97203,1,1,1,1,X,1,X,-1,1,1,1
28514,-1,0,-1,1,X,0,1,-1,1,X,0
96773,1,-1,,-1,-1,1,1,-1,-1,X,1
96898,X,X,-1,-1,0,1,1,-1,-1,1,1
96703,-1,1,1,1,1,1,X,1,1,1,1
96660,X,X,-1,X,-1,-1,1,-1,0,1,1
97131,1,1,1,1,1,1,1,0,1,1,1
28221,X,-1,1,-1,X,1,1,-1,-1,1,-1
96835,1,-1,-1,-1,X,X,X,-1,-1,1,X
38601,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96698,,,,,,,X,0,1,1,1
96845,1,-1,1,1,X,X,1,1,1,X,X
28617,1,-1,-1,-1,-1,1,1,-1,-1,X,1
97019,1,1,1,1,X,1,1,-1,1,1,1
96937,1,1,X,-1,X,X,X,-1,1,X,X
96946,X,X,-1,-1,-1,-1,-1,X,,,-1
28165,1,-1,1,X,-1,1,1,-1,-1,0,1
4513,1,-1,-1,-1,-1,1,1,-1,X,-1,1
1956,1,1,-1,-1,X,1,1,-1,X,X,-1
4398,X,X,X,X,1,1,1,0,1,1,1
96918,-1,1,1,1,-1,1,1,1,X,1,1
28177,-1,1,1,1,1,1,1,1,1,X,1
96756,X,X,-1,-1,-1,1,X,-1,-1,X,-1
4308,1,-1,X,-1,-1,1,1,-1,-1,0,1
34232,,,,X,X,1,X,1,1,1,1
28323,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
5737,X,X,-1,-1,-1,1,1,-1,-1,1,1
96761,1,-1,-1,X,-1,1,1,-1,-1,1,1
96774,1,-1,-1,-1,-1,1,1,X,X,X,1
2155,1,1,1,1,1,1,1,-1,1,1,1
96802,1,-1,X,-1,-1,-1,0,-1,-1,-1,-1
2319,-1,1,X,1,X,1,1,1,1,1,1
39713,1,1,1,X,X,1,1,-1,1,1,X
1907,-1,1,1,X,X,1,1,1,1,1,1
28227,,,,X,X,X,1,-1,-1,1,0
97016,-1,1,1,1,1,1,1,1,1,1,0
28130,X,X,X,X,1,1,1,1,1,X,1
96839,-1,1,1,1,X,X,1,1,1,1,1
2323,1,-1,-1,-1,-1,1,1,-1,X,1,-1
96677,-1,1,1,1,1,1,X,X,1,1,1
96764,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0
39725,1,-1,-1,-1,-1,1,1,X,-1,1,1
23784,1,-1,-1,-1,X,1,X,-1,-1,-1,X
96944,1,-1,X,-1,X,1,1,-1,-1,-1,1
28278,-1,1,1,1,X,1,1,1,1,1,1
96763,1,-1,1,-1,-1,X,1,-1,-1,0,1
96777,1,-1,X,-1,-1,1,1,X,-1,X,1
41007,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96778,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
28615,1,-1,-1,0,-1,1,1,-1,-1,-1,1
96762,1,-1,-1,-1,-1,0,0,-1,X,-1,-1
96784,-1,1,-1,-1,1,1,1,-1,1,1,1
28248,-1,1,1,1,1,1,1,1,1,X,-1
96803,1,-1,-1,-1,-1,-1,0,-1,-1,X,-1
28301,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
28279,-1,1,1,1,X,X,1,1,X,1,1
28511,,,,,,,,X,1,1,0
96735,-1,X,0,X,1,1,1,1,1,1,X
96858,-1,0,0,1,X,1,1,1,1,1,1
96994,1,0,-1,-1,-1,-1,X,-1,-1,-1,0
97198,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1
96809,-1,1,1,X,1,X,1,1,-1,1,1
97133,X,X,1,-1,X,1,1,-1,-1,-1,-1
96878,X,X,X,-1,X,1,1,X,-1,X,1
28424,1,-1,1,-1,-1,1,1,-1,-1,1,1
96705,1,-1,1,X,1,1,1,-1,X,1,1
28120,,,,,X,X,1,-1,-1,1,1
28352,1,-1,-1,-1,-1,1,1,-1,-1,-1,0
96933,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96876,1,-1,0,-1,-1,1,1,-1,-1,-1,0
96901,1,-1,-1,-1,-1,1,1,-1,X,1,1
28313,,,,,,,,,-1,1,1
23746,1,-1,-1,-1,X,X,X,X,-1,-1,1
28112,1,0,1,1,0,1,1,-1,-1,X,1
96754,1,-1,1,1,-1,1,1,-1,-1,1,1
1832,1,-1,1,1,-1,1,1,-1,-1,1,X
23894,1,-1,0,-1,-1,1,1,-1,-1,X,1
1405,-1,1,1,1,1,1,1,X,1,1,1
4544,,,,,,,,,1,X,1
34234,X,X,1,1,1,1,1,-1,1,1,1
96726,-1,1,1,1,1,1,X,1,1,X,1
28409,-1,1,1,1,1,1,1,1,1,1,1
28253,-1,1,1,1,X,1,1,1,1,1,1
28251,X,X,1,1,1,1,1,-1,1,1,1
96656,X,X,1,1,1,1,1,1,1,1,1
5729,-1,1,1,1,1,1,1,1,X,1,1
28310,X,X,1,X,1,1,1,1,1,1,1
35743,-1,1,1,1,1,1,1,1,1,X,1
96857,-1,X,X,1,X,X,1,1,1,1,X
96714,,,,,,,,0,1,X,1
23768,-1,1,-1,-1,1,1,X,-1,1,X,1
23706,-1,0,0,-1,-1,1,1,1,0,1,1
96741,-1,1,1,1,1,1,1,1,1,1,-1
997,1,0,-1,-1,-1,-1,X,-1,-1,-1,0
23788,1,-1,-1,X,-1,1,1,-1,-1,-1,-1
96957,1,-1,-1,-1,X,1,1,-1,-1,X,1
97968,1,-1,X,-1,-1,1,1,-1,-1,1,1
1431,1,-1,-1,-1,0,1,1,-1,-1,1,1
96978,1,-1,1,1,-1,1,X,-1,X,1,1
39721,1,-1,-1,-1,-1,1,1,-1,-1,1,1
23816,X,X,X,X,-1,1,1,-1,-1,1,-1
28393,1,-1,1,-1,X,1,1,X,X,1,1
28297,1,-1,-1,X,-1,X,1,-1,-1,X,1
33775,1,-1,1,-1,-1,1,1,-1,-1,1,1
988,1,-1,-1,-1,X,1,1,-1,-1,1,1
4393,,,,,X,X,1,-1,-1,1,1
28314,1,1,1,-1,X,1,1,-1,1,1,1
37324,1,1,1,-1,-1,1,1,-1,1,1,X
4432,-1,1,1,1,1,1,1,1,1,X,1
96739,-1,1,X,1,1,X,1,1,X,1,1
96812,-1,1,1,1,1,1,1,X,X,1,1
1906,-1,1,1,1,1,1,1,1,0,1,1
28155,-1,X,X,1,X,1,1,X,1,1,1
23868,-1,1,1,1,1,1,1,1,1,1,1
96864,-1,1,1,1,X,X,1,1,X,1,1
1129,-1,1,1,1,1,1,1,1,1,1,1
96907,-1,1,-1,1,0,1,1,1,1,X,1
28182,-1,1,1,1,1,1,1,1,1,1,0
28513,X,X,X,-1,X,-1,-1,X,X,X,X
96796,1,-1,-1,-1,-1,1,1,-1,-1,X,-1
4542,X,X,-1,-1,-1,1,1,X,-1,X,1
1917,1,-1,-1,-1,X,1,1,-1,-1,-1,0
1928,1,-1,-1,-1,X,1,1,-1,-1,-1,1
28124,1,-1,1,-1,-1,1,1,-1,1,1,1
28474,,,,,,,1,-1,-1,1,1
33982,1,-1,1,-1,-1,1,1,-1,-1,1,1
96903,X,X,-1,1,-1,X,X,-1,-1,1,1
4335,-1,1,1,1,1,X,1,X,X,1,1
97229,1,X,1,1,1,1,1,-1,1,1,1
1934,-1,1,1,1,1,1,X,1,1,1,1
28162,,,,,,,,1,X,X,1
22097,-1,1,1,1,X,1,1,1,1,1,1
38595,,,,,,,,1,1,1,1
1407,-1,1,1,X,1,1,1,X,1,1,1
4466,,,,,,,,,1,1,0
28134,,,,,,,,,,,0
4525,1,-1,-1,-1,X,-1,X,X,X,X,-1
23712,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
4246,1,-1,1,1,-1,1,1,-1,-1,1,0
29074,1,-1,-1,-1,X,1,1,X,-1,X,0
28229,1,-1,-1,-1,-1,1,1,-1,-1,X,0
23821,1,-1,-1,-1,-1,1,1,X,X,1,X
28167,X,X,X,-1,-1,1,1,-1,-1,1,1
28362,1,-1,1,-1,-1,1,1,-1,-1,X,1
4342,X,X,-1,-1,-1,1,1,-1,-1,1,1
97058,-1,1,1,1,X,1,1,-1,1,1,1
28242,1,1,1,-1,X,1,1,-1,1,1,0
28233,-1,1,1,1,1,1,1,1,1,1,1
28340,-1,1,1,1,1,1,X,1,1,1,1
96672,-1,1,1,1,1,1,1,1,1,1,1
1911,X,X,X,X,X,X,X,X,1,1,1
2295,X,X,1,1,X,X,1,1,1,1,1
28342,X,X,1,1,X,1,1,1,1,1,1
96650,,,,X,1,1,1,1,1,1,0
118860,-1,1,1,1,,,,,,,
97024,,,,,,,,,,,1
108570,X,X,1,X,1,1,X,1,,,
113959,-1,1,1,1,1,1,1,,,,
113892,-1,1,1,1,1,1,1,,,,
111033,1,-1,X,-1,-1,1,1,-1,,,
96877,,,,,,,,,,,-1
72776,,,,,,,,,,,1
116823,X,X,X,1,1,1,,,,,
1759,,,,,,,,,,,1
97002,,,,,,,,,,,1
113883,1,-1,1,-1,X,1,1,,,,
112014,1,1,1,0,1,X,X,-1,,,
96947,1,-1,1,X,-1,1,1,,,,
118709,1,-1,-1,-1,,,,,,,
113891,X,X,1,1,1,1,1,,,,
118710,-1,1,1,1,,,,,,,
96893,,,,,,,,,,,-1
116816,1,-1,-1,-1,X,X,,,,,
111126,1,-1,-1,-1,-1,1,1,-1,,,
111823,-1,1,1,1,1,1,1,1,,,
113597,-1,1,1,1,1,1,1,,,,
1202,-1,1,0,1,X,X,1,1,,,
112788,1,-1,-1,-1,X,1,1,,,,
97195,,,,,,,,,,,X
111496,1,-1,1,-1,-1,1,1,-1,,,
112071,-1,1,1,1,1,1,1,1,,,
2315,X,1,1,1,1,1,1,,,,
107973,-1,1,1,1,1,X,X,X,X,1,
110984,-1,1,X,1,X,X,1,1,,,
109337,1,1,1,1,-1,1,1,-1,1,1,
97129,,,,,,,,,,,1
118708,1,-1,-1,-1,,,,,,,
117477,-1,1,1,1,X,1,,,,,
107977,X,X,X,1,1,1,1,1,1,1,
118999,-1,1,1,1,,,,,,,
111017,-1,1,X,1,1,1,1,1,,,
39321,-1,1,1,1,1,1,1,1,,,
96983,,,,,,,,,,,1
109649,-1,1,1,1,1,1,0,1,1,X,
96830,,,,,,,,,,,-1
2054,,,,,,,,,,,1
37448,1,1,X,,,,,,,,
28176,,,,,,,,,,,0
96669,,,,,,,,,,,X
119875,1,1,1,,,,,,,,
97078,,,,,,,,,,,1
110365,-1,1,1,1,1,1,1,-1,1,,
96667,,,,,,,,,,,1
28576,,,,,,,,,,,1
23781,,,,,,,,,,,1
4524,,,,,,,,,,,1
37524,-1,1,0,,,,,,,,
111027,1,-1,-1,-1,-1,1,1,-1,,,
39916,1,-1,-1,1,-1,1,1,-1,,,
111011,1,-1,-1,-1,-1,1,1,-1,,,
118859,1,-1,-1,-1,,,,,,,
120478,-1,1,1,,,,,,,,
24942,,,,X,1,1,1,1,,,
118858,X,X,1,1,,,,,,,
114873,-1,1,-1,X,1,1,1,,,,
5537,1,-1,1,-1,-1,1,1,X,,,
111024,X,X,1,1,1,1,1,1,,,
30482,X,X,1,1,1,1,1,1,,,
111019,1,-1,X,X,X,1,X,-1,,,
28583,,,,,,,,,,,
116663,1,-1,-1,-1,-1,1,,,,,
97006,,,,,,,,,,,
118144,1,-1,-1,-1,0,1,,,,,
97010,,,,,,,,,,,
108080,1,-1,-1,-1,-1,1,1,-1,-1,1,
96879,,,,,,,,,,,1
111068,1,-1,-1,-1,-1,1,1,X,,,
112611,1,-1,-1,X,-1,1,1,-1,,,
28133,,,,,,,,,,,-1
111018,X,X,-1,-1,-1,1,X,-1,,,
33991,1,X,1,,,,,,,,
96666,,,,,,,,,,,-1
114840,-1,1,1,1,1,1,1,,,,
97294,,,,,,,,,,,1
113487,-1,1,1,1,1,1,1,,,,
111026,1,-1,-1,-1,1,1,X,-1,,,
96766,,,,,,,,,,,0
112620,-1,1,1,1,X,1,1,X,,,
96727,,,,,,,,,,,1
114279,-1,1,1,1,1,1,1,,,,
114268,1,1,1,1,1,1,1,,,,
110987,1,-1,-1,X,X,1,1,X,,,
115868,1,-1,-1,-1,X,X,,,,,
30475,X,X,X,X,1,1,,,,,
111014,-1,1,1,1,1,1,1,-1,,,
117119,1,1,X,1,1,1,,,,,
108329,1,1,1,1,1,1,1,0,1,1,
113890,-1,1,1,1,X,1,X,,,,
103246,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
111589,-1,1,0,1,0,1,0,1,,,
