v_dbid,3485,3301,5327,2171,2691,5579,5297
2212,X,X,X,-1,X,-1,1
28228,-1,1,-1,-1,-1,-1,1
28256,1,X,1,X,X,1,1
28390,X,1,-1,X,-1,X,1
96868,X,1,1,1,1,1,X
96914,1,1,-1,1,1,1,-1
96826,X,1,-1,1,-1,X,1
4556,X,0,0,1,1,0,1
96951,-1,-1,1,X,X,-1,1
96888,1,1,1,1,1,1,-1
96692,1,1,1,1,1,1,-1
96787,-1,1,-1,1,-1,1,1
96717,1,1,1,1,1,X,-1
4514,1,1,1,1,1,1,-1
96639,1,X,1,1,X,1,-1
28226,1,X,-1,X,-1,1,1
39769,1,1,1,X,1,1,-1
96725,1,1,1,1,1,1,-1
28127,,,,1,,,
25718,1,1,1,1,1,1,-1
1419,X,0,1,0,1,0,1
96859,1,1,1,X,1,X,-1
96676,1,1,1,1,1,1,-1
96852,1,1,1,X,1,1,-1
96842,X,1,1,X,1,1,X
96682,-1,1,1,-1,-1,X,1
96811,X,1,X,1,-1,1,1
4550,1,1,1,1,1,1,-1
23695,0,0,-1,X,1,0,X
96911,1,1,1,1,1,1,-1
23840,1,1,1,1,1,1,-1
4265,1,1,1,1,1,1,-1
96977,-1,X,X,1,-1,-1,1
96899,X,1,-1,1,-1,1,1
28308,1,X,1,1,1,X,-1
96706,0,0,1,1,1,1,-1
96810,-1,1,-1,-1,-1,-1,1
96729,-1,X,-1,1,X,1,1
28126,0,1,1,1,X,1,0
4385,1,1,1,1,1,1,-1
96840,1,1,1,1,1,X,-1
1038,X,1,-1,X,-1,1,1
96993,-1,0,1,-1,-1,-1,1
96949,-1,0,1,X,1,0,1
4553,X,0,0,0,1,0,1
1993,-1,1,-1,1,X,0,1
96908,-1,1,1,1,1,-1,1
2341,-1,1,-1,1,-1,X,1
2125,-1,1,1,1,1,1,1
96896,0,X,-1,1,X,-1,1
28298,1,1,1,1,1,1,-1
1992,,,,-1,,,
96991,1,1,1,1,1,1,-1
58758,-1,1,-1,-1,-1,-1,1
4562,-1,1,X,1,-1,-1,X
1665,X,1,-1,X,-1,1,1
28193,X,1,-1,1,1,-1,1
28150,-1,1,-1,1,-1,0,1
102886,-1,1,-1,1,-1,X,1
96832,X,1,1,1,1,1,-1
1913,1,X,1,1,1,1,-1
96833,1,1,1,1,X,1,-1
96940,1,1,1,1,1,1,-1
28377,1,1,1,1,1,1,-1
96730,1,1,1,1,1,1,-1
28379,1,1,1,1,X,1,-1
96956,X,0,1,0,1,0,1
1902,1,1,1,X,1,1,-1
28145,X,1,-1,1,-1,0,1
97004,X,1,X,X,1,0,-1
4429,1,1,1,1,1,1,-1
840,1,X,1,1,1,1,-1
1164,-1,X,-1,X,-1,-1,1
28306,X,X,1,X,1,1,-1
97137,X,1,1,X,X,1,-1
28220,-1,-1,-1,1,X,1,1
96790,-1,X,-1,-1,-1,-1,1
28123,1,X,,X,1,,
96953,,,,1,1,,
96745,1,1,1,1,1,1,-1
28208,1,1,1,1,1,1,0
96751,X,-1,-1,-1,-1,-1,1
34728,1,1,1,1,1,1,-1
2247,1,1,-1,1,-1,1,1
2025,-1,1,1,1,-1,-1,1
23785,-1,1,-1,-1,X,-1,1
96892,1,1,1,1,1,1,-1
96768,1,1,1,X,1,1,-1
96952,1,1,1,1,1,1,-1
23805,1,1,1,1,0,1,-1
103488,1,1,1,1,1,1,-1
4326,X,X,-1,1,-1,-1,1
96683,,,,1,1,,
28477,1,1,1,1,1,1,-1
28275,-1,1,-1,-1,-1,-1,1
96707,X,X,X,X,X,X,X
4555,-1,X,1,-1,1,0,1
4538,-1,0,1,1,1,0,1
28116,0,1,-1,1,1,1,1
103132,-1,-1,-1,0,-1,0,1
28321,1,1,1,1,1,1,-1
1914,1,1,1,1,1,1,-1
96758,1,1,1,1,1,1,-1
96851,1,1,X,X,1,1,X
96752,1,1,1,1,1,1,-1
28215,1,X,1,1,X,1,-1
96779,X,1,-1,X,-1,X,1
28131,1,1,1,X,1,1,-1
4516,X,-1,0,-1,X,0,0
22418,-1,1,-1,1,-1,1,1
96753,-1,1,-1,-1,-1,-1,1
28117,X,1,-1,1,-1,1,1
96872,1,X,1,1,1,1,-1
96950,X,1,1,1,1,1,-1
96881,,,,X,,,
96780,-1,1,-1,-1,-1,-1,1
5846,1,X,1,1,1,1,-1
5565,-1,1,1,X,X,-1,1
2073,1,X,1,X,X,1,-1
2338,X,1,1,1,1,1,-1
34249,1,1,1,1,1,1,-1
96818,0,X,-1,0,-1,0,1
28125,0,1,1,1,1,1,0
34235,1,1,1,1,1,X,-1
96693,0,X,1,0,0,-1,0
28266,1,1,1,1,1,1,-1
38605,1,1,1,1,1,X,-1
97130,1,1,1,1,0,X,-1
105192,1,1,1,1,1,1,-1
28398,X,X,-1,X,-1,X,1
96834,X,1,,1,-1,,
96684,1,X,1,1,1,1,-1
96740,1,1,1,1,1,1,-1
96772,-1,0,-1,1,-1,-1,1
96781,-1,1,-1,0,-1,X,1
28141,1,1,-1,1,-1,1,1
28156,1,1,1,X,1,,-1
96782,-1,1,-1,-1,-1,X,1
4271,-1,1,-1,-1,-1,-1,1
4440,X,1,1,1,X,1,-1
96806,X,1,-1,1,-1,1,1
96883,1,1,1,1,X,1,-1
28291,-1,1,-1,0,-1,1,1
96708,,,,1,,,
96884,X,1,-1,X,0,-1,1
23691,X,1,1,1,1,1,-1
28280,-1,1,-1,-1,-1,1,1
97014,1,1,1,1,1,1,-1
96807,X,1,1,X,1,1,-1
96771,-1,1,-1,-1,X,-1,1
96934,-1,1,-1,1,-1,1,1
33569,X,0,X,X,1,0,1
23792,X,X,-1,-1,1,X,1
96837,1,X,1,1,1,1,-1
28481,X,0,1,1,X,0,1
25919,-1,1,-1,-1,-1,-1,1
38613,1,1,1,1,1,1,-1
96829,-1,1,X,1,X,0,1
96882,-1,1,-1,1,-1,-1,1
96734,1,1,1,1,1,1,-1
96668,-1,1,-1,1,-1,1,1
96737,1,1,1,1,1,1,-1
34231,1,1,1,X,X,1,-1
1929,-1,1,-1,0,-1,-1,1
23413,1,1,1,1,X,X,-1
28244,X,X,1,X,X,1,-1
96769,1,1,1,1,1,1,-1
96704,0,0,X,X,1,0,X
1852,-1,0,-1,0,X,-1,1
28241,X,X,1,1,1,1,-1
28331,X,1,1,1,1,1,X
96785,X,1,,0,-1,,
39319,1,1,1,1,1,1,-1
4260,-1,X,0,1,-1,1,1
97011,0,1,-1,X,-1,1,1
102887,X,X,1,0,-1,X,1
96793,-1,0,1,-1,X,-1,1
101954,-1,1,-1,-1,-1,X,1
23873,X,1,1,1,X,X,-1
28247,X,0,1,1,-1,1,0
4482,0,1,1,1,-1,1,1
1854,1,1,1,1,X,1,-1
1935,X,X,1,1,1,1,-1
96767,-1,1,-1,1,-1,0,1
96651,0,1,-1,1,-1,0,1
96795,-1,-1,X,X,1,-1,1
96816,0,1,-1,1,-1,-1,1
1204,-1,1,1,1,-1,-1,1
4531,1,1,1,1,1,1,-1
96648,1,1,1,1,1,1,-1
1909,1,1,1,1,1,1,-1
28399,X,1,-1,X,X,X,1
96854,X,0,1,1,1,1,-1
96675,1,1,1,1,X,1,-1
96709,0,1,1,X,1,1,-1
105849,X,1,-1,1,X,X,1
101580,0,1,-1,1,-1,-1,1
1023,X,-1,-1,-1,X,X,1
28210,X,-1,-1,-1,X,-1,1
4283,,,,X,,,
2224,-1,X,-1,-1,X,0,1
4262,1,1,1,1,1,1,-1
97076,1,1,1,1,1,1,-1
1927,-1,1,-1,0,-1,-1,1
96788,-1,1,-1,-1,-1,X,1
96728,1,1,1,1,1,X,-1
96765,-1,1,-1,1,-1,1,1
4529,1,1,1,1,1,1,-1
96673,1,1,X,1,1,1,-1
96823,-1,1,-1,0,-1,1,1
1186,X,1,-1,-1,-1,1,1
97017,1,1,X,1,1,1,-1
4541,,,,X,,,
96959,X,1,1,1,1,1,-1
23704,1,1,1,1,1,1,-1
28192,1,1,1,1,1,1,-1
96824,1,1,-1,X,-1,X,1
96904,,,,X,-1,,
4560,1,1,1,1,1,X,-1
1922,-1,1,-1,-1,-1,-1,1
96685,1,1,X,1,X,X,X
96792,-1,1,-1,-1,-1,-1,1
4346,X,1,1,1,1,1,-1
1403,1,1,1,1,X,1,-1
4238,X,1,1,1,1,0,-1
28338,X,1,X,1,1,1,-1
4462,X,X,X,-1,X,-1,X
96813,0,X,-1,-1,-1,1,X
4412,-1,1,1,1,-1,-1,1
96820,1,1,1,1,1,X,-1
96936,-1,1,-1,0,-1,X,1
95017,-1,1,-1,1,-1,-1,1
96906,,,,1,1,,
4275,X,1,-1,-1,X,-1,1
96817,0,1,-1,1,-1,-1,1
96742,X,0,1,X,X,1,X
1873,,,,1,,,
96652,-1,1,-1,0,-1,-1,1
28255,-1,X,-1,-1,-1,-1,1
39717,1,1,,1,1,,
2327,1,1,1,X,1,1,-1
2173,1,X,1,X,1,1,-1
96919,-1,0,-1,X,1,0,1
28115,-1,1,-1,1,-1,1,1
96870,1,1,1,1,1,1,-1
4348,1,1,1,1,X,1,-1
96910,1,1,1,1,1,1,-1
96663,X,-1,1,X,-1,0,1
28407,X,0,1,1,X,1,-1
96670,X,1,1,1,1,1,-1
96800,-1,0,-1,-1,-1,-1,1
28178,-1,1,-1,-1,-1,-1,1
97020,1,1,1,1,1,1,-1
28400,-1,X,-1,X,-1,1,1
96999,1,X,1,X,1,X,-1
4519,1,1,1,1,X,1,-1
96930,1,X,1,1,1,1,-1
97280,-1,0,1,-1,-1,-1,1
38596,-1,X,-1,1,1,-1,1
96695,-1,1,-1,-1,-1,-1,1
96661,X,X,X,0,-1,-1,X
96760,0,1,-1,1,-1,X,1
96701,1,1,1,X,X,1,-1
1965,1,1,1,1,1,1,-1
97344,1,0,1,1,1,1,-1
1073,0,0,1,0,X,X,1
28506,X,-1,-1,X,-1,0,1
96848,0,1,-1,1,X,1,1
96844,1,1,1,1,1,1,-1
96653,1,1,1,1,1,1,-1
1394,1,1,1,1,1,1,-1
96861,-1,1,-1,X,-1,1,1
1946,X,1,X,X,X,1,X
1318,X,0,-1,0,1,0,1
96825,1,1,1,0,1,1,-1
39714,X,1,-1,X,-1,-1,1
4289,-1,X,-1,-1,-1,-1,1
96794,-1,X,-1,-1,-1,X,1
96805,X,X,0,X,X,X,0
96981,-1,0,-1,-1,-1,-1,1
4328,1,1,1,1,1,1,-1
97230,1,0,1,1,X,X,-1
28288,-1,1,X,-1,-1,-1,1
96783,X,X,1,1,1,1,-1
1122,0,1,-1,1,-1,1,1
23705,0,-1,-1,X,1,0,1
26829,1,1,1,1,1,1,-1
33984,1,1,1,X,1,X,-1
96654,0,1,1,-1,-1,-1,0
1191,-1,1,-1,0,-1,0,1
97025,1,1,1,1,1,1,-1
96694,0,X,1,X,X,-1,0
97007,X,1,1,1,1,X,-1
97197,X,1,-1,-1,-1,-1,1
38602,1,1,1,1,1,1,-1
28365,1,1,1,X,1,1,-1
97050,1,1,X,1,1,X,-1
96900,-1,1,-1,1,-1,X,1
28572,1,1,X,1,0,X,X
96948,1,X,1,1,1,1,-1
96902,-1,1,-1,1,-1,-1,1
36392,X,1,-1,X,-1,1,1
4270,1,X,1,1,1,1,-1
1253,-1,1,-1,1,-1,0,1
28166,,,,1,1,,
96989,X,1,1,X,X,X,-1
23693,-1,1,-1,1,-1,-1,1
28224,-1,0,-1,X,-1,-1,1
40599,1,1,1,1,-1,X,-1
28341,-1,-1,-1,-1,1,-1,1
96890,X,1,1,1,1,1,0
2307,-1,1,-1,-1,-1,-1,1
4436,1,1,1,X,1,1,X
96715,1,1,1,0,1,1,-1
39317,1,1,1,1,1,1,-1
96931,-1,1,1,1,1,X,1
96801,X,X,X,X,-1,-1,1
28406,,,,1,1,,
2229,-1,-1,-1,-1,-1,-1,1
96658,-1,1,1,X,-1,1,1
96838,-1,1,-1,1,-1,-1,1
107386,0,1,1,1,1,1,-1
28370,1,1,1,1,1,1,0
23782,-1,1,-1,X,X,X,1
1055,-1,1,-1,-1,-1,-1,1
96925,1,1,1,1,1,1,-1
2278,-1,1,-1,1,-1,-1,1
4294,1,X,1,1,1,1,-1
96998,1,1,1,1,1,1,-1
96875,1,1,1,1,1,1,-1
28330,1,1,X,1,1,,X
96686,1,1,0,1,1,1,-1
28225,-1,0,X,-1,X,-1,1
28349,1,1,1,X,1,1,-1
4253,1,1,1,X,X,1,-1
96885,-1,1,-1,0,-1,-1,1
96743,1,1,1,1,X,1,-1
97199,-1,1,-1,-1,-1,X,X
97022,1,X,1,1,X,1,1
93624,1,1,1,1,X,1,-1
96710,0,1,X,X,1,1,-1
96990,1,1,1,X,1,X,-1
96819,0,1,-1,-1,-1,1,1
96664,0,0,1,X,1,0,1
97196,-1,1,-1,-1,-1,-1,1
1183,1,1,1,1,X,1,-1
23707,1,1,1,1,X,1,-1
96988,X,1,1,1,0,1,-1
4345,-1,1,-1,1,1,-1,1
2002,-1,1,-1,X,-1,-1,1
96889,X,1,-1,1,-1,X,1
99416,1,1,1,1,-1,0,1
28404,-1,0,X,-1,-1,-1,X
96746,-1,X,-1,1,X,-1,1
96815,1,1,1,1,X,1,-1
4423,-1,1,X,X,-1,X,X
96696,X,1,-1,-1,-1,-1,1
97308,1,1,1,1,1,1,-1
28295,1,X,1,1,1,1,-1
33989,1,1,1,X,X,X,X
39724,-1,1,-1,1,-1,-1,1
37676,1,0,1,1,X,1,-1
96945,1,1,1,1,1,1,-1
37312,1,1,1,1,1,1,-1
28135,-1,1,-1,1,-1,0,1
28139,1,1,1,1,1,1,-1
4274,1,1,1,1,1,1,-1
1930,-1,1,-1,-1,X,-1,1
96827,-1,X,-1,1,-1,-1,1
96646,1,1,1,1,1,1,-1
1933,1,1,1,1,1,1,-1
96731,1,1,1,1,1,1,-1
28223,-1,X,-1,0,-1,-1,1
96671,X,1,,1,X,,
96996,-1,1,1,-1,-1,-1,1
96843,-1,1,-1,-1,-1,-1,1
28252,-1,1,-1,1,-1,-1,1
96718,1,1,1,1,1,1,-1
96789,X,1,1,1,X,1,-1
96865,X,X,,1,X,,
33990,1,1,1,1,1,1,-1
23787,X,1,-1,-1,-1,-1,1
96755,-1,1,-1,-1,-1,-1,1
96836,X,1,1,1,1,1,-1
1309,1,1,1,1,1,1,-1
96960,X,X,0,X,-1,X,0
96932,1,1,1,1,1,1,-1
28380,1,X,1,1,X,1,-1
2081,1,1,1,1,X,1,-1
96770,-1,1,-1,-1,-1,-1,1
97018,1,1,1,1,1,1,-1
28508,1,1,1,1,1,X,-1
96655,1,1,1,1,1,X,X
4282,-1,1,-1,1,-1,-1,1
28299,X,X,-1,-1,-1,-1,1
97170,1,1,1,1,1,1,-1
4751,1,1,1,1,1,1,-1
96905,-1,-1,-1,0,-1,0,1
97008,1,1,1,1,1,1,-1
96831,1,1,1,1,1,1,-1
4243,,,,,,,
4546,-1,0,1,1,1,0,1
4545,1,1,1,X,1,1,-1
34254,-1,-1,-1,-1,0,-1,1
96863,,X,,1,-1,,
28320,X,-1,0,0,1,-1,1
96860,1,1,1,1,1,1,-1
2037,X,-1,X,-1,X,X,X
23820,-1,1,-1,-1,-1,-1,1
36396,1,1,,0,1,,
96678,0,1,1,1,1,1,1
96920,-1,0,0,1,1,0,1
96855,X,1,X,X,X,X,X
28358,-1,0,-1,-1,X,-1,1
23808,1,1,1,1,1,X,-1
28316,0,1,0,-1,-1,1,1
4521,-1,0,-1,X,1,0,1
29579,X,1,1,1,1,1,-1
97136,X,1,1,X,1,1,-1
1945,X,1,-1,0,-1,X,1
96821,1,1,1,1,1,X,-1
102931,1,1,X,1,1,X,X
96847,1,1,1,X,1,X,-1
39726,-1,1,-1,0,-1,-1,1
96974,0,1,-1,1,-1,1,1
107385,0,0,X,1,-1,1,1
96874,1,1,1,1,1,1,-1
25704,1,1,-1,1,-1,1,X
96871,1,1,1,1,1,1,-1
28153,1,1,1,1,1,1,-1
96776,X,1,-1,X,-1,X,1
97026,1,1,1,1,1,1,-1
96713,0,0,-1,1,1,X,1
96697,-1,X,-1,X,1,-1,1
28584,-1,X,X,X,X,0,X
28240,1,1,1,X,X,1,-1
96909,,,,1,,,
97203,X,0,1,1,1,1,-1
28514,1,0,1,1,1,1,-1
96773,-1,1,,1,-1,,
96898,X,1,1,1,0,X,-1
96703,1,1,1,1,1,1,-1
96660,1,1,X,1,-1,1,0
97131,1,X,1,1,1,1,1
28221,-1,1,-1,-1,X,-1,1
96835,X,1,-1,0,-1,X,1
38601,X,1,-1,1,-1,0,1
96698,,X,,1,X,,
96845,X,1,1,X,X,-1,0
28617,-1,1,-1,X,-1,-1,1
97019,1,1,1,1,1,X,-1
96937,1,X,1,1,X,1,X
96946,X,-1,-1,,1,-1,-1
28165,-1,1,-1,-1,-1,1,1
4513,-1,X,0,X,X,0,1
1956,-1,-1,-1,X,-1,1,1
4398,X,X,X,1,1,1,X
96918,1,1,X,1,1,1,-1
28177,1,1,1,X,1,1,-1
96756,-1,1,-1,X,-1,-1,1
4308,-1,1,-1,1,-1,-1,X
34232,1,1,,1,X,,
28323,0,0,-1,X,1,X,1
5737,-1,1,-1,1,1,-1,1
96761,-1,1,-1,-1,-1,-1,1
96774,-1,1,X,X,-1,-1,1
2155,X,1,1,1,1,X,-1
96802,-1,0,-1,X,1,-1,1
2319,1,1,1,1,1,1,X
39713,1,1,1,1,1,1,-1
1907,1,1,1,1,1,1,-1
28227,-1,1,,-1,-1,,
97016,1,1,1,1,1,1,X
28130,1,1,X,1,1,1,X
96839,1,1,1,1,X,1,-1
2323,-1,1,X,-1,1,-1,1
96677,1,1,1,1,X,1,-1
96764,X,0,-1,-1,X,-1,1
39725,X,1,-1,-1,-1,-1,1
23784,X,X,-1,X,-1,-1,1
96944,X,0,X,1,0,0,X
28278,1,1,1,1,1,1,-1
96763,-1,1,-1,X,X,1,1
96777,-1,-1,-1,-1,-1,-1,X
