v_dbid,3358,3361,4787,4788,4792,5689,5747,5748
96656,1,1,1,1,1,1,1,1
5729,0,1,1,X,1,1,1,1
28310,0,1,1,1,1,1,1,X
35743,0,1,1,1,1,-1,1,1
96857,X,X,1,1,1,1,1,1
96714,,,,,,,,
23768,-1,1,1,-1,-1,-1,-1,-1
23706,1,-1,-1,-1,1,1,1,1
96741,1,-1,1,1,1,1,1,1
997,-1,1,-1,-1,-1,-1,1,-1
23788,-1,-1,-1,-1,-1,-1,-1,-1
96957,-1,-1,-1,-1,-1,-1,-1,-1
97968,-1,1,1,0,1,-1,1,-1
1431,-1,1,1,-1,-1,-1,1,-1
96978,X,X,1,-1,-1,-1,1,1
39721,-1,1,1,-1,1,-1,1,1
23816,-1,1,1,-1,-1,X,X,X
28393,-1,1,1,-1,-1,-1,1,-1
28297,-1,1,1,-1,-1,-1,X,-1
33775,-1,1,1,-1,-1,-1,1,-1
988,-1,1,-1,1,-1,-1,1,-1
4393,-1,1,,,,,,
28314,-1,1,-1,-1,1,-1,1,X
37324,-1,1,X,X,X,-1,1,1
4432,1,1,1,1,1,1,1,1
96739,1,1,1,1,1,1,1,1
96812,1,1,1,1,1,1,1,1
1906,1,1,1,1,1,-1,1,1
28155,1,1,1,1,1,-1,-1,-1
23868,1,1,X,X,X,-1,1,1
96864,1,1,1,1,1,1,X,1
1129,1,1,1,1,1,1,1,X
96907,X,X,1,1,1,0,1,1
28182,X,X,1,1,1,1,1,1
28513,X,X,X,X,X,X,X,X
96796,-1,-1,-1,-1,-1,-1,-1,-1
4542,-1,-1,-1,-1,-1,-1,X,X
1917,-1,1,X,-1,-1,-1,1,-1
1928,-1,1,1,-1,1,-1,1,-1
28124,-1,1,1,-1,1,-1,1,-1
28474,-1,1,,,,,,
33982,-1,1,1,-1,1,-1,1,1
96903,-1,1,1,-1,-1,-1,1,1
4335,1,1,X,X,X,-1,1,X
97229,X,1,-1,-1,1,-1,1,X
1934,1,1,1,1,1,1,1,1
28162,,,,,,,,
22097,1,1,1,1,1,1,1,1
38595,,,,,,,,
1407,1,1,1,X,1,1,1,1
4466,,,,,,,,
28134,,,,,,,,
4525,-1,0,X,X,X,-1,-1,-1
23712,-1,-1,X,X,X,X,X,X
4246,-1,1,1,1,-1,-1,1,1
29074,X,X,X,-1,-1,X,X,X
28229,-1,1,1,-1,-1,-1,1,-1
23821,-1,1,1,-1,-1,-1,1,-1
28167,-1,1,1,X,-1,-1,1,-1
28362,X,X,1,-1,-1,-1,1,-1
4342,-1,1,1,-1,-1,-1,1,X
97058,0,1,-1,-1,1,-1,1,1
28242,-1,1,-1,-1,1,-1,1,-1
28233,1,1,1,1,1,1,1,1
28340,1,1,1,1,1,X,1,1
96672,1,1,1,1,1,1,1,1
1911,X,X,X,X,X,X,X,X
2295,X,1,X,1,X,X,1,1
28342,1,1,1,1,1,1,1,1
96650,1,-1,,,,,,
118860,,,0,0,0,1,1,1
97024,,,,,,,,
108570,1,0,1,1,1,1,1,1
113959,1,-1,1,1,1,1,1,1
113892,1,1,1,1,1,1,1,X
111033,-1,1,1,-1,-1,-1,1,-1
96877,,,,,,,,
72776,,,,,,,,
116823,,,1,1,1,1,1,1
1759,,,,,,,,
97002,,,,,,,,
113883,-1,1,1,-1,-1,-1,1,-1
112014,1,1,-1,-1,1,-1,1,0
96947,X,X,X,X,X,X,X,X
118709,,,1,-1,-1,-1,1,-1
113891,1,1,1,1,1,1,1,X
118710,,,1,1,1,-1,1,1
96893,,,,,,,,
116816,,,1,0,-1,-1,1,-1
111126,-1,1,1,-1,-1,-1,-1,-1
111823,1,1,1,X,1,1,1,1
113597,0,1,X,X,X,X,1,1
1202,1,0,1,1,1,1,1,1
112788,-1,1,1,-1,-1,X,X,X
97195,,,,,,,,
111496,X,X,X,X,X,-1,1,-1
112071,1,1,1,1,1,1,1,1
2315,1,1,1,1,1,1,1,1
107973,1,1,X,X,X,1,1,1
110984,1,1,0,0,0,1,1,1
109337,-1,1,-1,-1,1,-1,1,1
97129,,,,,,,,
118708,,,-1,-1,-1,X,X,X
117477,,,1,1,1,0,1,1
107977,1,1,1,1,1,X,X,X
118999,,,1,1,1,-1,1,1
111017,1,1,1,X,1,1,1,1
39321,1,1,1,1,1,X,X,X
96983,,,,,,,,
109649,1,-1,1,1,1,X,X,X
96830,,,,,,,,
2054,,,,,,,,
37448,,,-1,-1,1,X,X,X
28176,,,,,,,,
96669,,,,,,,,
119875,,,1,1,1,1,1,1
97078,,,,,,,,
110365,1,1,1,1,1,1,1,1
96667,,,,,,,,
28576,,,,,,,,
23781,,,,,,,,
4524,,,,,,,,
37524,,,1,1,1,1,1,1
111027,-1,1,1,-1,-1,-1,1,-1
39916,-1,1,1,-1,-1,-1,1,-1
111011,-1,-1,-1,-1,-1,-1,-1,-1
118859,,,0,-1,-1,-1,1,-1
120478,,,1,1,1,1,1,1
24942,1,1,,,,,,
118858,,,0,0,X,1,1,1
114873,1,1,1,1,1,X,1,1
5537,-1,1,1,-1,-1,-1,1,-1
111024,1,1,1,1,1,1,1,1
30482,0,0,X,X,X,1,1,1
111019,-1,1,1,-1,-1,-1,1,-1
28583,,,,,,,,
116663,,,1,0,-1,-1,1,-1
97006,,,,,,,,
118144,,,1,-1,-1,-1,1,-1
97010,,,,,,,,
108080,-1,1,X,X,X,-1,1,-1
96879,,,,,,,,
111068,-1,1,1,-1,-1,-1,1,-1
112611,-1,1,1,-1,-1,-1,1,-1
28133,,,,,,,,
111018,-1,1,1,-1,-1,-1,1,-1
33991,,,-1,-1,1,-1,0,1
96666,,,,,,,,
114840,X,X,1,1,1,1,1,1
97294,,,,,,,,
113487,1,-1,1,1,1,1,1,1
111026,1,-1,-1,1,-1,1,1,-1
96766,,,,,,,,
112620,-1,1,-1,-1,1,-1,1,1
96727,,,,,,,,
114279,1,1,1,1,1,1,1,1
114268,-1,1,1,1,1,-1,1,1
110987,-1,1,X,X,X,X,X,X
115868,-1,-1,-1,-1,-1,X,X,X
30475,,,X,X,X,X,X,X
111014,1,1,1,1,1,1,X,X
117119,,,1,1,1,X,X,X
108329,1,1,-1,-1,1,1,1,X
113890,1,0,1,1,1,1,1,1
103246,-1,-1,-1,-1,-1,-1,-1,-1
111589,1,-1,1,1,1,0,1,X
