v_dbid,5249,4462,5216,5217,4662,44475227,5243,4458,4657,4661
28221,1,X,-1,1,X,,1,X,X,X
96835,1,-1,-1,1,1,,1,-1,1,1
38601,1,-1,-1,1,1,,1,-1,1,1
96698,,,,,,,,,,
96845,X,X,X,X,1,,X,X,1,1
28617,1,X,-1,1,1,,1,X,1,1
97019,X,1,-1,1,1,,X,1,1,1
96937,X,X,X,X,X,,X,X,X,X
96946,X,X,X,X,-1,,X,X,1,-1
28165,1,-1,-1,1,X,,1,-1,X,X
4513,X,-1,X,X,-1,,X,-1,-1,-1
1956,X,-1,X,X,1,,X,-1,1,1
4398,-1,1,1,-1,1,,-1,1,-1,1
96918,0,1,-1,0,1,,1,1,1,-1
28177,1,1,-1,1,1,,1,1,1,1
96756,1,-1,-1,1,1,,1,-1,1,1
4308,1,-1,-1,1,1,,1,-1,1,1
34232,,,,,,,,,,
28323,X,-1,X,X,-1,,X,-1,-1,-1
5737,1,X,-1,1,X,,1,X,X,X
96761,1,-1,-1,1,1,,1,-1,1,1
96774,1,X,-1,1,1,,1,X,1,1
2155,X,1,X,X,0,,X,1,0,0
96802,X,-1,X,X,-1,,X,-1,-1,-1
2319,1,1,-1,1,1,,1,1,1,1
39713,1,1,-1,1,X,,1,1,X,X
1907,0,1,1,0,-1,,1,1,1,0
28227,,-1,,,X,,,-1,X,X
97016,1,1,-1,0,1,,1,1,1,1
28130,X,X,X,X,X,,X,X,X,X
96839,1,1,1,1,X,,1,1,X,X
2323,X,X,X,X,1,,X,X,1,1
96677,1,X,1,1,1,,1,X,1,1
96764,1,-1,-1,1,1,,1,-1,1,1
39725,X,X,X,X,1,,X,X,1,1
23784,-1,-1,-1,-1,X,,0,-1,X,X
96944,-1,-1,-1,-1,-1,,0,-1,-1,-1
28278,1,X,-1,1,1,,1,X,1,1
96763,1,-1,-1,1,X,,1,-1,X,X
96777,1,-1,-1,1,1,,1,-1,1,1
41007,1,-1,-1,1,1,,1,-1,1,1
96778,1,-1,-1,1,1,,1,-1,1,1
28615,-1,X,-1,-1,-1,,0,X,-1,-1
96762,1,-1,-1,1,1,,1,-1,1,1
96784,1,1,-1,1,1,,1,1,1,1
28248,-1,1,1,-1,X,,-1,1,X,X
96803,-1,-1,-1,-1,-1,,0,-1,-1,-1
28301,1,-1,-1,1,1,,1,-1,1,1
28279,1,1,-1,1,1,,X,1,1,1
28511,,,,,,,,,,
96735,-1,1,1,-1,X,,X,1,X,X
96858,-1,1,1,-1,-1,,-1,1,-1,-1
96994,X,-1,X,X,-1,,X,-1,-1,-1
97198,1,-1,1,0,-1,,1,-1,1,-1
96809,-1,1,-1,-1,-1,,0,-1,-1,-1
97133,X,-1,X,X,X,,X,-1,X,X
96878,-1,-1,-1,-1,-1,,-1,-1,-1,-1
28424,1,-1,-1,1,1,,1,-1,1,1
96705,0,-1,-1,1,X,,1,-1,X,X
28120,,,,,,,,,,
28352,1,-1,-1,1,1,,1,-1,1,1
96933,1,-1,-1,1,1,,1,-1,1,1
96876,X,-1,-1,1,1,,1,-1,1,1
96901,1,-1,-1,1,1,,1,-1,1,1
28313,,,,,,,,,,
23746,1,X,-1,1,X,,1,X,X,X
28112,0,-1,0,0,1,,1,-1,0,1
96754,1,-1,-1,1,1,,1,-1,1,1
1832,1,-1,-1,1,1,,1,-1,1,1
23894,1,-1,-1,1,1,,1,-1,1,1
1405,1,1,-1,1,X,,1,1,X,X
4544,,,,,,,,,,
34234,1,1,-1,1,1,,1,1,1,1
96726,0,X,1,0,X,,-1,X,X,X
28409,X,1,X,X,-1,,X,1,-1,-1
28253,-1,1,1,-1,-1,,-1,1,-1,-1
28251,-1,1,X,-1,-1,,-1,1,-1,1
96656,1,1,-1,1,1,,1,1,1,1
5729,1,1,-1,1,X,,1,X,1,1
28310,1,1,-1,1,1,,1,1,1,1
35743,0,1,-1,0,1,,1,1,1,-1
96857,1,1,-1,1,1,,1,1,1,1
96714,,,,,,,,,,
23768,1,1,-1,1,1,,1,1,1,1
23706,-1,1,1,-1,-1,,-1,1,-1,-1
96741,X,0,X,X,-1,,X,1,-1,-1
997,1,-1,1,0,-1,,1,-1,-1,-1
23788,-1,-1,-1,-1,-1,,0,-1,-1,-1
96957,-1,-1,-1,-1,-1,,0,-1,-1,-1
97968,1,-1,-1,1,X,,1,-1,X,X
1431,1,-1,-1,1,1,,1,-1,1,1
96978,X,-1,X,X,1,,X,-1,1,1
39721,1,-1,-1,-1,X,,1,-1,X,X
23816,1,-1,-1,1,X,,1,-1,X,X
28393,X,-1,X,X,X,,X,-1,X,X
28297,1,X,-1,1,1,,1,X,1,1
33775,1,-1,-1,1,1,,1,-1,1,1
988,1,-1,-1,1,X,,1,-1,X,X
4393,,,,,,,,,,
28314,1,X,-1,1,1,,1,X,1,1
37324,1,X,-1,1,1,,1,X,1,1
4432,-1,X,1,0,-1,,-1,1,-1,-1
96739,0,1,1,0,-1,,-1,1,-1,-1
96812,0,1,-1,1,1,,1,1,1,1
1906,1,1,-1,1,1,,1,1,X,1
28155,1,1,-1,1,1,,1,1,1,1
23868,1,X,-1,1,1,,1,1,1,1
96864,1,1,-1,1,1,,1,1,1,1
1129,1,1,-1,1,1,,1,1,1,1
96907,-1,1,1,-1,-1,,-1,1,-1,-1
28182,X,1,X,X,-1,,X,0,-1,-1
28513,X,X,X,X,X,,X,X,X,X
96796,X,-1,X,X,-1,,X,-1,-1,-1
4542,X,-1,-1,-1,-1,,0,-1,-1,-1
1917,1,-1,-1,1,1,,1,-1,1,1
1928,1,-1,-1,1,1,,1,-1,1,1
28124,X,X,X,X,X,,X,X,X,X
28474,,,,,,,,,,
33982,1,-1,-1,1,1,,1,-1,1,1
96903,1,-1,-1,1,1,,1,-1,1,1
4335,1,1,-1,1,1,,1,1,1,1
97229,1,1,-1,1,1,,1,1,1,1
1934,-1,1,1,0,-1,,X,1,-1,-1
28162,,,,,,,,,,
22097,1,X,-1,1,X,,1,1,X,X
38595,,,,,,,,,,
1407,0,1,-1,0,1,,1,1,1,-1
4466,,,,,,,,,,
28134,,,,,,,,,,
4525,X,X,X,X,X,,X,X,X,X
23712,-1,-1,-1,-1,-1,,0,-1,-1,-1
4246,1,X,-1,1,1,,1,X,1,1
29074,X,X,X,X,X,,X,X,X,X
28229,1,-1,-1,1,1,,1,-1,1,1
23821,1,-1,-1,1,1,,1,-1,1,1
28167,1,-1,-1,1,1,,1,-1,1,1
28362,1,-1,-1,1,1,,1,-1,1,1
4342,1,-1,-1,1,1,,1,-1,1,1
97058,X,1,X,X,X,,X,1,X,X
28242,1,X,-1,1,1,,1,X,1,1
28233,0,1,1,0,-1,,-1,1,-1,-1
28340,X,1,X,1,1,,1,1,1,1
96672,0,X,1,0,0,,-1,1,-1,1
1911,X,X,X,X,X,,X,X,X,X
2295,1,1,-1,1,X,,1,1,-1,X
28342,1,1,-1,1,1,,1,1,1,1
96650,,1,,,,,,1,,
118860,1,X,-1,1,X,,1,X,X,X
97024,,,,,,,,,,
108570,X,X,X,X,-1,,X,X,-1,-1
113959,-1,1,1,-1,-1,,-1,0,-1,-1
113892,1,1,-1,1,1,,1,1,1,1
111033,1,-1,-1,1,1,,1,-1,1,1
96877,,,,,,,,,,
72776,,,,,,,,,,
116823,X,X,X,X,X,,X,X,X,X
1759,,,,,,,,,,
97002,,,,,,,,,,
113883,1,-1,-1,1,1,,1,-1,1,1
112014,1,1,-1,1,-1,,1,1,-1,-1
96947,1,-1,-1,1,1,,1,-1,1,1
118709,1,-1,-1,1,X,,1,-1,1,1
113891,0,1,1,0,-1,,-1,1,-1,-1
118710,X,1,-1,1,1,,X,1,1,1
96893,,,,,,,,,,
116816,1,-1,-1,1,1,,1,-1,1,1
111126,1,-1,-1,1,1,,1,-1,1,1
111823,0,1,1,0,-1,,-1,1,-1,-1
113597,1,1,-1,1,1,,1,1,1,1
1202,-1,1,1,-1,-1,,-1,1,-1,-1
112788,X,-1,-1,1,1,,X,-1,1,1
97195,,,,,,,,,,
111496,1,-1,-1,1,X,,1,-1,X,X
112071,0,1,0,0,0,,-1,1,0,0
2315,1,X,-1,1,1,,1,X,1,1
107973,0,1,1,0,-1,,-1,1,-1,-1
110984,1,1,-1,1,1,,1,1,1,1
109337,1,1,-1,1,1,,1,1,1,1
97129,,,,,,,,,,
118708,X,X,X,X,X,,X,X,X,X
117477,1,0,0,1,-1,,1,1,0,0
107977,X,1,X,X,X,,X,1,X,X
118999,1,1,-1,1,1,,1,1,1,1
111017,1,1,-1,1,1,,1,1,1,1
39321,X,1,X,X,1,,X,1,1,1
96983,,,,,,,,,,
109649,-1,X,1,-1,-1,,-1,X,-1,-1
96830,,,,,,,,,,
2054,,,,,,,,,,
37448,1,,X,1,X,,1,,X,X
28176,,,,,,,,,,
96669,,,,,,,,,,
119875,X,,X,X,-1,,X,,-1,-1
97078,,,,,,,,,,
110365,X,1,X,X,-1,,X,1,-1,-1
96667,,,,,,,,,,
28576,,,,,,,,,,
23781,,,,,,,,,,
4524,,,,,,,,,,
37524,1,1,-1,1,1,,1,1,1,1
111027,1,-1,-1,1,1,,1,-1,1,1
39916,1,-1,-1,1,1,,1,-1,1,1
111011,-1,-1,-1,-1,-1,,0,-1,X,X
118859,1,-1,-1,1,1,,1,-1,1,1
120478,-1,,1,-1,-1,,-1,,-1,-1
24942,,1,,,,,,1,,
118858,1,1,1,1,1,,1,1,1,1
114873,1,1,-1,1,1,,1,1,1,1
5537,X,X,X,X,X,,X,X,X,X
111024,1,X,-1,1,1,,-1,X,-1,1
30482,-1,0,1,-1,X,,-1,1,X,X
111019,1,X,-1,1,1,,1,X,1,1
28583,,,,,,,,,,
116663,1,-1,-1,1,1,,1,-1,1,1
97006,,,,,,,,,,
118144,X,-1,X,X,1,,X,-1,1,1
97010,,,,,,,,,,
108080,1,-1,-1,1,1,,1,-1,1,1
96879,,,,,,,,,,
111068,1,X,-1,1,1,,1,X,1,1
112611,1,-1,-1,1,1,,1,-1,1,1
28133,,,,,,,,,,
111018,1,-1,-1,1,1,,1,-1,1,1
33991,1,,-1,1,X,,1,,X,X
96666,,,,,,,,,,
114840,X,1,X,X,1,,X,1,1,1
97294,,,,,,,,,,
113487,-1,1,1,-1,-1,,-1,1,-1,-1
111026,-1,1,1,-1,-1,,-1,1,-1,-1
96766,,,,,,,,,,
112620,1,1,-1,1,0,,1,1,0,0
96727,,,,,,,,,,
114279,1,1,-1,1,1,,1,1,1,1
114268,1,X,-1,1,1,,1,X,1,1
110987,X,X,X,X,X,,X,X,X,X
115868,-1,0,1,-1,-1,,-1,-1,-1,-1
30475,X,X,X,X,X,,X,X,X,X
111014,-1,1,1,-1,0,,-1,1,-1,0
117119,1,1,-1,1,1,,1,1,1,1
108329,0,1,-1,0,1,,1,1,-1,1
113890,0,1,1,-1,-1,,-1,1,-1,-1
103246,-1,0,1,-1,-1,,-1,-1,-1,-1
111589,-1,1,1,-1,-1,,-1,1,-1,-1
